Region,MonthNum,Month,Males,Females,Juveniles,Convicted Males,Unconvicted Males,Convicted Females,Unconvicted Females
Central,1,46023,7072,246,0,4138,2934,110,136
Coast,1,46023,6422,231,171,3788,2675,85,145
Eastern,1,46023,8579,488,0,4424,4156,238,250
Nairobi,1,46023,8517,695,162,4188,4329,316,379
North Eastern,1,46023,620,29,0,350,270,21,8
Nyanza,1,46023,7496,316,0,5116,2338,177,139
Rift Valley,1,46023,16720,865,0,11117,5603,539,326
Western,1,46023,3213,213,224,1528,1685,124,89
Central,2,46054,6980,237,0,4195,2785,115,122
Coast,2,46054,6475,223,166,3781,2684,84,139
Eastern,2,46054,8637,477,0,4479,4158,242,235
Nairobi,2,46054,8680,713,162,4269,4411,313,400
North Eastern,2,46054,612,25,0,341,271,15,10
Nyanza,2,46054,7499,309,0,5106,2352,180,129
Rift Valley,2,46054,16864,928,0,11190,5674,597,331
Western,2,46054,3121,210,235,1568,1553,127,83
Central,3,46082,6967,231,0,4228,2739,105,126
Coast,3,46082,6535,229,171,3919,2605,91,138
Eastern,3,46082,8355,465,0,4492,3863,243,222
Nairobi,3,46082,8717,693,165,4377,4340,322,371
North Eastern,3,46082,632,26,0,369,260,16,10
Nyanza,3,46082,7519,291,0,5153,2326,174,117
Rift Valley,3,46082,16678,867,0,11116,5562,549,318
Western,3,46082,3102,215,230,1580,1522,127,88
Central,4,46113,6885,221,0,4176,2709,107,114
Coast,4,46113,6384,217,173,3843,2530,89,128
Eastern,4,46113,8424,443,0,4434,3990,235,208
Nairobi,4,46113,8916,703,168,4475,4441,314,389
North Eastern,4,46113,619,26,0,377,241,18,8
Nyanza,4,46113,7637,317,0,5205,2389,195,122
Rift Valley,4,46113,16826,843,0,11027,5799,519,324
Western,4,46113,3122,191,235,1580,1542,109,82
